Stream Name,Data Source,Source Object,Connector Type,Category,Total Records,DLO Name,Last Refresh Date
CumulusWebsite_userProfile_7F443081,CumulusWebsite_588805e2_2c6b_4305_82d4_7073937ae781,,StreamingApp,Profile,652,CumulusWebsite_userProfile_7F443081__dll,2025-12-04T17:12:37.000Z
transactions_jl_Databricks,Databricks,,Databricks,Engagement,578,transactions_jl_Databricks__dll,
PilotAIRetrieverRequest,AIPlatform_RAG_QUALITY_MONITORING,,AIPlatform,Engagement,507,PilotAIRetrieverRequest__dll,2026-07-02T16:50:29.000Z
TenantDailyEntitlementCons_1728959211410,C360_AWS_Account,,AwsS3,Engagement,480,TenantDailyEntitlementCons_1728959211410__dll,2025-12-31T06:01:11.000Z
Group_Home,SalesforceDotCom_Home,Group,SalesforceDotCom,Other,472,Group_Home__dll,2026-07-02T16:50:36.000Z
DataObjectAutoTaggingJob_Home,SalesforceDotCom_Home,DataObjectAutoTaggingJob,SalesforceDotCom,Other,433,DataObjectAutoTaggingJob_Home__dll,2026-07-02T16:50:36.000Z
MktDataLakeObject_Home,SalesforceDotCom_Home,MktDataLakeObject,SalesforceDotCom,Other,432,MktDataLakeObject_Home__dll,2025-12-31T18:00:36.000Z
DataLakeObjectInstance_Home,SalesforceDotCom_Home,DataLakeObjectInstance,SalesforceDotCom,Other,422,DataLakeObjectInstance_Home__dll,2025-12-31T18:00:51.000Z
Investments,Heroku_Postgres,,HerokuPostgres,Profile,371,Investments__dll,2026-02-12T17:24:10.000Z
MCC_Table,Jedi_Snowflake,,SNOWFLAKE,Other,324,MCC_Table__dll,
Loans,Heroku_Postgres,,HerokuPostgres,Other,315,Loans__dll,2026-02-12T17:24:12.000Z
DataStreamDefinition_Home,SalesforceDotCom_Home,DataStreamDefinition,SalesforceDotCom,Other,292,DataStreamDefinition_Home__dll,2025-12-31T18:00:36.000Z
DataStream_Home,SalesforceDotCom_Home,DataStream,SalesforceDotCom,Other,284,DataStream_Home__dll,2025-12-31T18:00:50.000Z
Product_Insurance_AFDC,SalesforceDotCom_InsuranceAFDC,Product2,SalesforceDotCom,Other,283,Product_Insurance_AFDC__dll,2026-07-02T16:50:36.000Z
FinServ_AssetsAndLiabilities_c_Home,SalesforceDotCom_Home,FinServ__AssetsAndLiabilities__c,SalesforceDotCom,Profile,229,FinServ_AssetsAndLiabilities_c_Home__dll,2026-05-26T15:20:50.000Z
Redemption_History_DLO,UploadedFiles,,UploadedFiles,Other,200,Redemption_History_DLO__dll,2025-06-24T01:15:35.000Z
Deposits,Heroku_Postgres,,HerokuPostgres,Other,168,Deposits__dll,2026-02-12T17:24:15.000Z
Experience_Cloud_Event_Connector_Behavioral_Events_8AE43755,Experience_Cloud_Event_Connector_616e417d_5f9e_4c2e_81e7_819ce2971ec9,,StreamingApp,Engagement,156,Experience_Cloud_Event_Connecto_8AE43755__dll,2026-06-25T15:03:31.000Z
LogoutEventStream_Salesforce_Platform_Ev,Salesforce_Platform_Events,,EventBusConnector,Engagement,150,LogoutEventStream_Salesforce_Platform_Ev__dll,2026-07-02T16:26:35.000Z
financial_services_lea09132348059,UploadedFiles,,UploadedFiles,Other,146,financial_services_lea09132348059__dll,2025-07-09T17:23:56.000Z
PilotAIRetrieverQualityMetric,AIPlatform_RAG_QUALITY_MONITORING,,AIPlatform,Engagement,126,PilotAIRetrieverQualityMetric__dll,2026-07-02T16:19:22.000Z
AccountAccountRelationship,SalesforceDotCom_Home,FinServ__AccountAccountRelation__c,SalesforceDotCom,Profile,116,AccountAccountRelationship__dll,2026-05-26T15:13:53.000Z
Snowflake_External_Table_Test,Jedi_Snowflake,,SNOWFLAKE,Engagement,100,Snowflake_External_Table_Test__dll,
